"","rows","cols","N","row_clusts","col_clusts","avg_row_clust_size","avg_col_clust_size","sparsity","user.self","sys.self","elapsed","iterations"
"1",86,211,18146,4,4,21.5,52.75,0.95486071,0.928,0.01,0.938,10
"2",86,211,18146,4,4,21.5,52.75,0.95486071,0.874,0.009,0.884,8
"3",86,211,18146,4,4,21.5,52.75,0.95486071,0.847,0.007,1.053,8
"4",86,211,18146,4,4,21.5,52.75,0.95486071,0.613,0,0.613,5
"5",86,211,18146,4,4,21.5,52.75,0.95486071,0.58,0.008,0.588,5
"6",86,211,18146,4,4,21.5,52.75,0.95486071,1.984,0.003,1.987,21
"7",86,211,18146,4,4,21.5,52.75,0.95486071,0.716,0.002,0.719,6
"8",86,211,18146,4,4,21.5,52.75,0.95486071,1.028,0.001,1.03,10
"9",86,211,18146,4,4,21.5,52.75,0.95486071,1.486,0,1.485,16
"10",86,211,18146,4,4,21.5,52.75,0.95486071,0.882,0,0.884,8
"11",86,211,18146,4,4,21.5,52.75,0.95486071,0.731,0,0.741,7
"12",86,211,18146,4,4,21.5,52.75,0.95486071,0.859,0,0.859,8
"13",86,211,18146,4,4,21.5,52.75,0.95486071,0.9,0,0.9,9
"14",86,211,18146,4,4,21.5,52.75,0.95486071,0.994,0,2.065,9
"15",86,211,18146,4,4,21.5,52.75,0.95486071,0.603,0,0.605,5
"16",86,211,18146,4,4,21.5,52.75,0.95486071,0.572,0,0.761,5
"17",86,211,18146,4,4,21.5,52.75,0.95486071,0.692,0,0.693,10
"18",86,211,18146,4,4,21.5,52.75,0.95486071,0.755,0,0.758,7
"19",86,211,18146,4,4,21.5,52.75,0.95486071,0.745,0,0.769,7
"20",86,211,18146,4,4,21.5,52.75,0.95486071,0.876,0,1.647,8
"21",86,211,18146,4,4,21.5,52.75,0.95486071,0.995,0,0.997,9
"22",86,211,18146,4,4,21.5,52.75,0.95486071,1.24,0.002,1.245,11
"23",86,211,18146,4,4,21.5,52.75,0.95486071,1.002,0,1.015,10
"24",86,211,18146,4,4,21.5,52.75,0.95486071,0.82,0.001,0.821,8
"25",86,211,18146,4,4,21.5,52.75,0.95486071,0.674,0,0.675,6
"26",86,211,18146,4,4,21.5,52.75,0.95486071,0.852,0,0.851,8
"27",86,211,18146,4,4,21.5,52.75,0.95486071,0.741,0.001,0.749,7
"28",86,211,18146,4,4,21.5,52.75,0.95486071,0.751,0.002,0.761,7
"29",86,211,18146,4,4,21.5,52.75,0.95486071,0.903,0.001,0.905,8
"30",86,211,18146,4,4,21.5,52.75,0.95486071,0.931,0,1.692,9
"31",116,861,99876,4,10,29,86.1,0.969452121,6.318,0.045,6.363,13
